判決字號,處罰方式,侮辱字詞,加重事由-累犯,減輕事由,行為人是否於緩刑中或假釋中再犯,行為人有無「公然侮辱」之前案紀錄,行為人有「公然侮辱」外之任何前案紀錄？,是否坦承,犯後態度
112年度易字第425號,新臺幣14000元,「幹你娘」、「幹你娘機掰」、「幹你娘，要打你」、「幹你娘機掰」,無,無,否,無,無,坦承,尚有悔意
112年度基簡字第389號,新臺幣5000元,「幹你娘機掰」、「幹你娘」,無,無,否,無,無,坦承,未敘明
112年度基簡字第1042號,拘役20日,被告持櫃台上之壓克力廣告板丟向告訴人及用力搥打櫃台、大聲咆嘯,無,無,否,無,無,坦承,未敘明
113年度基簡字第58號,新臺幣6000元,「幹你娘機掰」,無,無,否,無,無,坦承,未敘明
113年度基簡字第106號,新臺幣3000元,「狗眼看人低」,無,無,否,無,無,坦承,未敘明
111年度訴字第67號,新臺幣1000元,「幹你娘！」,無,無,否,無,無,坦承,未敘明
112年度基簡字第1269號,新臺幣3000元,比中指,無,無,否,無,無,坦承,未敘明
112年度易字第244號,拘役15日,「沒教養」、「沒爸沒媽」、「流氓沒家教」,無,無,否,無,無,否認,未敘明
112年度審簡字第2538號,新臺幣2000元,比中指,無,無,否,無,無,坦承,未敘明
112年度審易字第1659號,拘役40日,「低劣老師」、「垃圾（閩南語）」、「狗屁」,無,無,否,無,無,否認,未敘明
112年度簡字第2033號,新臺幣3000元,比中指,無,無,否,無,有,坦承,未敘明
112年度簡字第3366號,新臺幣3000元,「幹你娘機掰」,無,無,否,無,有,坦承,未敘明
112年度審簡字第2310號,新臺幣5000元,「幹你娘」、「臭雞巴」；「幹你娘老雞巴」、「你娘老雞巴」、「你娘雞巴」、「幹你娘雞巴」、「瘋子」,無,無,否,無,無,坦承,尚有悔意
112年度簡字第3173號,拘役40日,「幹你娘」、「幹你娘，你給我搬走」、「幹你娘雞掰啦」、「幹你娘」、「幹你娘雞掰」、「你老母雞掰」、「幹你娘」、「幹你娘」、「哭爸啦」、「幹你娘」、「幹你娘雞掰啦」、「幹你娘，你給我搬」、「幹你娘」、「幹你娘雞掰」、「幹你娘啦」、「幹你娘，你算三小」、「你娘雞掰」、「幹你娘雞掰」、「你跛腳」、「幹你娘老雞掰」、「幹你娘」、「幹你娘雞掰」（台語）,無,無,否,有,無,坦承,未敘明
112年度訴字第723號,拘役30日,「敗類」、「屌你老母（粵語）」,無,無,否,無,無,否認,未敘明
112年度審易字第1543號,新臺幣4000元,「幹你娘（臺語）」、「你逢幹啦（臺語）」,無,無,否,無,無,否認,未敘明
112年度易字第528號,無罪,「舔美國懶覺的中華民國公務員」、「你現在的作為是孬種」、「畜生」、「講難聽一點跟強姦犯沒什麼兩樣」,無,無,否,無,無,否認,未敘明
112年度易字第708號,無罪,「幹你娘（臺語）」,無,無,否,無,無,否認,未敘明
112年度簡字第5513號,新臺幣9000元,「你給人家幹」、「大頭仔，林北叫你給人幹」、「幹你娘機掰ㄟ」、「幹你娘機掰、臭機掰、三小」、「幹你娘、沒懶叫的」,無,無,否,無,無,坦承,未敘明
112年度簡字第5093號,新臺幣9000元,「瘋婆」、「警察是你的老客兄」,無,無,否,無,無,否認,未敘明
112年度審簡字第747號,新臺幣5000元,「婊子」、「敗類」、「為何臺灣人的素質這樣」,無,無,否,無,無,坦承,未敘明
